sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
1.0,P1,96.0,30.333333333333332,69.33333333333333,16.0,1.0939757629099993,11 Apr 2022,0.5197889182058049,0.1612903225806452,4372.0,75.0
1.0,P1,221.16666666666666,70.83333333333333,168.5,52.833333333333336,1.487707964261494,16 May 2022,0.5148401826484018,0.13515825491873396,4372.0,75.0
1.0,P1,185.75,96.5,148.25,45.75,0.5872206578220635,18 Mar 2022,0.31620903454384414,0.1122754491017964,4372.0,75.0
1.0,P1,136.0,50.666666666666664,102.0,35.333333333333336,1.233664120264889,27 May 2022,0.45714285714285724,0.14285714285714285,4372.0,75.0
2.0,P2,101.66666666666667,26.0,72.0,17.666666666666668,1.6386725741097374,11 Apr 2022,0.5926892950391645,0.1708253358925144,4559.0,75.0
2.0,P2,239.85714285714286,64.0,179.71428571428572,50.142857142857146,1.741305515229115,16 May 2022,0.5787494123178185,0.14334354783792985,4559.0,75.0
2.0,P2,158.75,90.25,126.75,41.25,0.5022682170402822,18 Mar 2022,0.2751004016064257,0.11208406304728546,4559.0,75.0
2.0,P2,153.16666666666666,44.166666666666664,111.5,29.333333333333332,1.372227867306152,27 May 2022,0.5523648648648649,0.1574307304785894,4559.0,75.0
3.0,P3,106.33333333333333,34.333333333333336,79.66666666666667,21.0,1.2277363942729584,11 Apr 2022,0.5118483412322276,0.14336917562724008,4600.0,61.0
3.0,P3,301.6666666666667,73.5,203.0,64.16666666666667,2.123654947614331,16 May 2022,0.6081741448245225,0.19550858652575961,4600.0,61.0
3.0,P3,153.25,84.25,120.5,39.75,0.5612659398346669,18 Mar 2022,0.2905263157894737,0.11963470319634703,4600.0,61.0
3.0,P3,179.8,52.2,125.4,43.0,1.8672902963405078,27 May 2022,0.55,0.1782437745740498,4600.0,61.0
4.0,P4,127.0,36.0,93.0,22.666666666666668,1.3817133997694795,11 Apr 2022,0.558282208588957,0.15454545454545454,5065.0,73.5
4.0,P4,343.625,59.5,231.25,52.75,2.2174082762179457,16 May 2022,0.7048062015503876,0.19547727766905848,5065.0,73.5
4.0,P4,161.5,85.25,126.75,39.0,0.5663187175896678,18 Mar 2022,0.3090172239108409,0.12055507372072853,5065.0,73.5
4.0,P4,176.33333333333334,40.166666666666664,120.5,25.333333333333332,1.4808656413478805,27 May 2022,0.6289453425712087,0.18809657495788884,5065.0,73.5
5.0,P5,119.0,40.333333333333336,90.0,21.333333333333332,1.0577883038037585,11 Apr 2022,0.49372384937238484,0.13875598086124402,4656.0,64.0
